,precision,recall,f1-score,support
general,0.8823529411764706,0.75,0.8108108108108109,20.0
price_promo,0.9444444444444444,0.85,0.8947368421052632,20.0
product_detail,0.8333333333333334,0.75,0.7894736842105263,20.0
product_discovery,0.6896551724137931,1.0,0.8163265306122449,20.0
recommendation,0.8947368421052632,0.85,0.8717948717948718,20.0
return_product,0.8947368421052632,0.85,0.8717948717948718,20.0
shipping_transaction,0.8181818181818182,0.9,0.8571428571428571,20.0
stock_availability,0.8888888888888888,0.8,0.8421052631578947,20.0
accuracy,0.84375,0.84375,0.84375,0.84375
macro avg,0.8557912853311593,0.84375,0.8442732164536676,160.0
weighted avg,0.8557912853311593,0.84375,0.8442732164536677,160.0
